Id,SalePrice
1461,125431.40166666667
1462,155266.58166666667
1463,186594.46833333332
1464,182523.98666666666
1465,200407.98333333334
1466,183907.265
1467,167735.0
1468,175686.63
1469,180233.52833333332
1470,127418.52
1471,200908.145
1472,94736.08333333333
1473,96021.255
1474,155719.46666666667
1475,142970.97166666668
1476,367095.95
1477,253230.33
1478,302266.725
1479,249279.39666666667
1480,499154.56166666665
1481,302953.8483333333
1482,210352.54666666666
1483,175649.35833333334
1484,171842.84166666667
1485,171013.875
1486,183718.46333333335
1487,315387.74833333335
1488,241787.02833333332
1489,209050.015
1490,198636.63166666665
1491,187881.925
1492,98233.70166666666
1493,181321.825
1494,298892.42333333334
1495,295424.0966666667
1496,228790.76
1497,192153.22666666665
1498,155235.025
1499,153756.15833333333
1500,155398.19333333333
1501,171909.12333333332
1502,160610.74166666667
1503,273580.19666666666
1504,236615.49333333335
1505,218109.325
1506,182772.06666666668
1507,225164.61833333335
1508,203985.22166666668
1509,163040.105
1510,152964.03
1511,150617.41833333333
1512,172514.20666666667
1513,151590.38666666666
1514,163205.35833333334
1515,178810.91166666665
1516,160782.73333333334
1517,153938.69333333333
1518,134638.91333333333
1519,226968.51833333334
1520,139449.66666666666
1521,146066.58333333334
1522,160725.84333333332
1523,112672.095
1524,124327.54666666666
1525,123134.915
1526,127782.12166666667
1527,108766.80166666667
1528,129480.16833333333
1529,142399.52166666667
1530,169409.115
1531,135862.17166666666
1532,104931.87166666667
1533,147329.31
1534,115368.05
1535,162740.785
1536,115930.02
1537,78961.39833333333
1538,195510.28
1539,233760.60666666666
1540,114126.38666666667
1541,148144.06666666668
1542,145140.42
1543,215188.52666666667
1544,82337.76
1545,104159.18
1546,120478.60833333334
1547,137976.245
1548,134942.46833333332
1549,113326.82
1550,137219.105
1551,118828.63333333333
1552,150380.33833333335
1553,149954.045
1554,113589.83
1555,171493.595
1556,97928.54
1557,124546.79
1558,89835.655
1559,122621.11333333333
1560,148361.98666666666
1561,150924.05
1562,127153.13833333334
1563,125343.51166666667
1564,163186.17
1565,154145.97
1566,230774.80666666667
1567,80427.40166666667
1568,228669.835
1569,147571.05666666667
1570,131204.34666666668
1571,131183.96666666667
1572,145094.525
1573,246551.96166666667
1574,118596.39333333333
1575,219247.81333333332
1576,214995.28166666668
1577,203289.22166666668
1578,150014.83833333335
1579,142865.92833333334
1580,189772.85333333333
1581,143281.74166666667
1582,128843.73
1583,338481.945
1584,233555.55833333332
1585,140165.5
1586,74441.01333333334
1587,104112.74666666667
1588,153713.29166666666
